"sample_id","file","group","treatment"
"q1_0","11","ctrl","water"
"q2_0","12","ctrl","water"
"q3_0","13","ctrl","water"
"q4_0","14","ctrl","water"
"q5_0","15","ctrl","water"
"q6_0","16","ctrl","water"
"q7_0","21","ctrl","lap"
"q8_0","22","ctrl","lap"
"q9_0","23","ctrl","lap"
"q10_0","24","ctrl","lap"
"q11_0","25","ctrl","lap"
"q12_0","26","ctrl","lap"
"q13_0","31","eae","water"
"q14_0","32","eae","water"
"q15_0","33","eae","water"
"q16_0","34","eae","water"
"q17_0","35","eae","water"
"q18_0","36","eae","water"
"q19_0","41","eae","lap"
"q20_0","42","eae","lap"
"q21_0","43","eae","lap"
"q22_0","44","eae","lap"
"q23_0","45","eae","lap"
"q24_0","46","eae","lap"
